"siteyear","computer_name"
"site_579_2023","ivan-Alienware-m16-R1"
"site_593_2023","ivan-Alienware-m16-R1"
"site_579_2023","ivan-Alienware-m16-R1"
"site_38_2023","ivan-Alienware-m16-R1"
"site_145_2023","ivan-Alienware-m16-R1"
"site_145_2024","ivan-Alienware-m16-R1"
"site_21_2023","ivan-Alienware-m16-R1"
"site_23_2023","ivan-Alienware-m16-R1"
"site_30_2023","ivan-Alienware-m16-R1"
"site_30_2024","ivan-Alienware-m16-R1"
"site_33_2022","ivan-Alienware-m16-R1"
"site_33_2023","ivan-Alienware-m16-R1"
"site_33_2024","ivan-Alienware-m16-R1"
"site_44_2023","ivan-Alienware-m16-R1"
"site_44_2024","ivan-Alienware-m16-R1"
"site_56_2023","ivan-Alienware-m16-R1"
"site_56_2024","ivan-Alienware-m16-R1"
"site_66_2023","ivan-Alienware-m16-R1"
"site_683_2023","ivan-Alienware-m16-R1"
"site_683_2024","ivan-Alienware-m16-R1"
"site_71_2023","ivan-Alienware-m16-R1"
"site_145_2023","npwc-System-Product-Name"
"site_145_2024","npwc-System-Product-Name"
"site_21_2023","npwc-System-Product-Name"
"site_23_2023","npwc-System-Product-Name"
"site_30_2023","npwc-System-Product-Name"
"site_33_2022","npwc-System-Product-Name"
"site_33_2023","npwc-System-Product-Name"
"site_37_2023","npwc-System-Product-Name"
"site_37_2024","npwc-System-Product-Name"
"site_44_2023","npwc-System-Product-Name"
"site_56_2023","npwc-System-Product-Name"
"site_56_2024","npwc-System-Product-Name"
"site_66_2023","npwc-System-Product-Name"
"site_683_2024","npwc-System-Product-Name"
"site_71_2023","npwc-System-Product-Name"
"site_38_2024","ivan-Alienware-m16-R1"
